group_name,video_count,total_views,total_likes,total_comments,positive_ratio,negative_ratio,neutral_ratio
희두_나연,109,72289591,715883,18628,0.37,0.33,0.3
해은_규민,16,27971256,255349,1887,0.4,0.15,0.45
