group_name,video_count,total_views,total_likes,total_comments,positive_ratio,negative_ratio,neutral_ratio
희두_나연,10,28656871,320466,3141,0.5,0.4,0.1
해은_규민,3,8402180,71151,0,0.0,0.0,0.0
